ID,Type,Title,Price (EGP),Down Payment,Location Cluster,Full Address,Bedrooms,Bathrooms,Area (sqm),Agency Name,URL
88963507,Chalet,Chalet Deliver 2027 Frist Row sea view in Sokhna,3856000,,Lasirena Palm Beach,"Lasirena Palm Beach, Al Ain Al Sokhna, Suez",2,2,80,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-lasirena-palm-beach-88963507.html
88964259,Apartment,Apartment RTM in Mostakbal City Over 6 Years,6325000,,Neopolis   Wadi Degla,"Neopolis   Wadi Degla, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,200,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-neopolis-wadi-degla-88964259.html
88966065,Chalet,Furnished Chalet with prime View for sale-Marassi,14850000,,Marassi,"Marassi, Sidi Abdel Rahman, North Coast",2,1,106,Master Mind Real Estate Services,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-88966065.html
88965447,Apartment,Studio For invest At Lowest Price Over 10 Years,2688000,,Qamary,"Qamary, R8, New Capital City, Cairo",studio,1,60,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r8-qamary-88965447.html
88965966,Apartment,Apartment 3BR At Lowest Price in New Cairo Over10Y,4630000,,Noll,"Noll, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,140,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-noll-88965966.html
88965999,Apartment,Limited Finished Apartment View on Club-Resale,4200000,,Sodic East,"Sodic East, 6th District, New Heliopolis, Cairo",2,3,125,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-heliopolis-6th-district-sodic-east-88965999.html
88965447,Apartment,Studio For invest At Lowest Price Over 10 Years,2688000,,Qamary,"Qamary, R8, New Capital City, Cairo",studio,1,60,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r8-qamary-88965447.html
88965966,Apartment,Apartment 3BR At Lowest Price in New Cairo Over10Y,4630000,,Noll,"Noll, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,140,Roots Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-noll-88965966.html
88965999,Apartment,Limited Finished Apartment View on Club-Resale,4200000,,Sodic East,"Sodic East, 6th District, New Heliopolis, Cairo",2,3,125,Allocate Real Estate,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-heliopolis-6th-district-sodic-east-88965999.html
88954537,Villa,"Villa for sale near Beverly Hills, Sheikh Zayed",2900000,,DeJoya Residence,"DeJoya Residence, New Zayed City, Sheikh Zayed City, Giza",4,4,275,Step One Real Estate,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-dejoya-residence-88954537.html
